Time	 Point1PX	 Point1PY	 Point1PZ	 Point1FX	 Point1FY	 Point1FZ	 Rod1NAPX	 Rod1NAPY	 Rod1NAPZ	 Rod1NBPX	 Rod1NBPY	 Rod1NBPZ	 
(s)	 (m)       	 (m)       	 (m)       	 (N)       	 (N)       	 (N)       	 (m)       	 (m)       	 (m)       	 (m)       	 (m)       	 (m)       	 
0.57001	 0	 0	 -0.18071	 0	 0	 -3721.22	 -1	 0	 -1	 1	 0	 -1	 
0.58001	 0	 0	 -1.8764	 0	 0	 4354.66	 -1	 0	 -1	 1	 0	 -1	 
0.59001	 0	 0	 -0.0762622	 0	 0	 -4912.13	 -1	 0	 -1	 1	 0	 -1	 
0.60001	 0	 0	 -1.96066	 0	 0	 5363.03	 -1	 0	 -1	 1	 0	 -1	 
0.61001	 0	 0	 -0.014426	 0	 0	 -5676.62	 -1	 0	 -1	 1	 0	 -1	 
0.62001	 0	 0	 -1.99843	 0	 0	 5838.29	 -1	 0	 -1	 1	 0	 -1	 
0.63001	 0	 0	 -0.00179426	 0	 0	 -5833.91	 -1	 0	 -1	 1	 0	 -1	 
0.64001	 0	 0	 -1.98558	 0	 0	 5668.34	 -1	 0	 -1	 1	 0	 -1	 
0.65	 0	 0	 -0.040706	 0	 0	 -5335.09	 -1	 0	 -1	 1	 0	 -1	 
0.66	 0	 0	 -1.92225	 0	 0	 4877.64	 -1	 0	 -1	 1	 0	 -1	 
0.67	 0	 0	 -0.125774	 0	 0	 -4312.37	 -1	 0	 -1	 1	 0	 -1	 
0.68	 0	 0	 -1.81705	 0	 0	 3676.27	 -1	 0	 -1	 1	 0	 -1	 
0.69	 0	 0	 -0.248454	 0	 0	 -3005.42	 -1	 0	 -1	 1	 0	 -1	 
0.7	 0	 0	 -1.67969	 0	 0	 2340.78	 -1	 0	 -1	 1	 0	 -1	 
0.71	 0	 0	 -0.397542	 0	 0	 -1719.9	 -1	 0	 -1	 1	 0	 -1	 
0.72	 0	 0	 -1.52163	 0	 0	 1174.76	 -1	 0	 -1	 1	 0	 -1	 
0.73	 0	 0	 -0.561981	 0	 0	 -730.616	 -1	 0	 -1	 1	 0	 -1	 
0.74	 0	 0	 -1.35293	 0	 0	 397.726	 -1	 0	 -1	 1	 0	 -1	 
0.75	 0	 0	 -0.733192	 0	 0	 -178.302	 -1	 0	 -1	 1	 0	 -1	 
0.76	 0	 0	 -1.18039	 0	 0	 55.5976	 -1	 0	 -1	 1	 0	 -1	 
0.77	 0	 0	 -0.906271	 0	 0	 -8.33388	 -1	 0	 -1	 1	 0	 -1	 
0.78	 0	 0	 -1.00714	 0	 0	 -0.488349	 -1	 0	 -1	 1	 0	 -1	 
0.79	 0	 0	 -1.07955	 0	 0	 4.76983	 -1	 0	 -1	 1	 0	 -1	 
0.8	 0	 0	 -0.833886	 0	 0	 -46.4556	 -1	 0	 -1	 1	 0	 -1	 
0.81	 0	 0	 -1.25268	 0	 0	 155.827	 -1	 0	 -1	 1	 0	 -1	 
0.82	 0	 0	 -0.661228	 0	 0	 -362.646	 -1	 0	 -1	 1	 0	 -1	 
0.83	 0	 0	 -1.42419	 0	 0	 678.782	 -1	 0	 -1	 1	 0	 -1	 
0.84	 0	 0	 -0.492031	 0	 0	 -1109.41	 -1	 0	 -1	 1	 0	 -1	 
0.85	 0	 0	 -1.58948	 0	 0	 1641.53	 -1	 0	 -1	 1	 0	 -1	 
0.86	 0	 0	 -0.332778	 0	 0	 -2254.24	 -1	 0	 -1	 1	 0	 -1	 
0.87	 0	 0	 -1.74025	 0	 0	 2915.27	 -1	 0	 -1	 1	 0	 -1	 
0.88	 0	 0	 -0.193311	 0	 0	 -3587.04	 -1	 0	 -1	 1	 0	 -1	 
0.89	 0	 0	 -1.86556	 0	 0	 4231.02	 -1	 0	 -1	 1	 0	 -1	 
0.9	 0	 0	 -0.0850696	 0	 0	 -4806.58	 -1	 0	 -1	 1	 0	 -1	 
0.91	 0	 0	 -1.95412	 0	 0	 5281.85	 -1	 0	 -1	 1	 0	 -1	 
0.92	 0	 0	 -0.018531	 0	 0	 -5624.74	 -1	 0	 -1	 1	 0	 -1	 
0.93	 0	 0	 -1.99688	 0	 0	 5818.77	 -1	 0	 -1	 1	 0	 -1	 
0.94	 0	 0	 -0.000746864	 0	 0	 -5847.95	 -1	 0	 -1	 1	 0	 -1	 
0.95	 0	 0	 -1.9892	 0	 0	 5715.1	 -1	 0	 -1	 1	 0	 -1	 
