Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Seg1Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	
0.00541	 7.41341e-21	 0	 -18.4113	 8.38296e-21	 0	 -18.8997	 0	 
0.00551	 7.46377e-21	 0	 -18.4301	 8.45242e-21	 0	 -18.9212	 0	 
0.00561	 7.52838e-21	 0	 -18.4487	 8.50862e-21	 0	 -18.9436	 0	 
0.00571	 7.60417e-21	 0	 -18.4674	 8.56381e-21	 0	 -18.966	 0	 
0.00581	 7.68747e-21	 0	 -18.486	 8.61954e-21	 0	 -18.9882	 1.03456e+06	 
0.00591	 7.77501e-21	 0	 -18.5047	 8.67457e-21	 0	 -19.0097	 2.51075e+06	 
0.00601	 7.86358e-21	 0	 -18.5234	 8.7272e-21	 0	 -19.0296	 3.1512e+06	 
0.00611	 7.94923e-21	 0	 -18.5421	 8.77658e-21	 0	 -19.0475	 2.78908e+06	 
0.00621	 8.02739e-21	 0	 -18.5608	 8.82289e-21	 0	 -19.0638	 1.59612e+06	 
0.00631	 8.09326e-21	 0	 -18.5794	 8.86717e-21	 0	 -19.0792	 7216.37	 
0.00641	 8.14281e-21	 0	 -18.5977	 8.9106e-21	 0	 -19.0946	 0	 
0.00651	 8.1741e-21	 0	 -18.6159	 8.95347e-21	 0	 -19.1101	 0	 
0.00661	 8.18667e-21	 0	 -18.6339	 8.99337e-21	 0	 -19.1257	 0	 
0.00671	 8.18144e-21	 0	 -18.6517	 9.01986e-21	 0	 -19.1421	 0	 
0.00681	 8.16048e-21	 0	 -18.6693	 9.02574e-21	 0	 -19.1598	 0	 
0.00691	 8.12682e-21	 0	 -18.6867	 9.01146e-21	 0	 -19.1785	 0	 
0.00701	 8.08432e-21	 0	 -18.7041	 8.98449e-21	 0	 -19.198	 0	 
0.00711	 8.03742e-21	 0	 -18.7214	 8.955e-21	 0	 -19.2176	 0	 
0.00721	 7.99099e-21	 0	 -18.7387	 8.92593e-21	 0	 -19.2371	 0	 
0.00731	 7.94992e-21	 0	 -18.756	 8.89726e-21	 0	 -19.2566	 250421	 
