Time	 AnchTen1	 FairTen1	 
(s)	 (N)       	 (N)       	 
0.01501	 3.60234e+06	 1.1133e+07	 
0.01511	 3.60531e+06	 1.11371e+07	 
0.01521	 3.60808e+06	 1.11408e+07	 
0.01531	 3.61068e+06	 1.11442e+07	 
0.01541	 3.61311e+06	 1.11473e+07	 
0.01551	 3.61539e+06	 1.115e+07	 
0.01561	 3.61752e+06	 1.11525e+07	 
0.01571	 3.61951e+06	 1.11546e+07	 
0.01581	 3.62138e+06	 1.11564e+07	 
0.01591	 3.62312e+06	 1.11579e+07	 
0.01601	 3.62474e+06	 1.11591e+07	 
0.01611	 3.62626e+06	 1.116e+07	 
0.01621	 3.62767e+06	 1.11605e+07	 
0.01631	 3.62898e+06	 1.11608e+07	 
0.01641	 3.6302e+06	 1.11608e+07	 
0.01651	 3.63132e+06	 1.11604e+07	 
0.01661	 3.63236e+06	 1.11598e+07	 
0.01671	 3.63332e+06	 1.11589e+07	 
0.01681	 3.63419e+06	 1.11576e+07	 
0.01691	 3.63498e+06	 1.11561e+07	 
0.01701	 3.6357e+06	 1.11543e+07	 
0.01711	 3.63635e+06	 1.11521e+07	 
0.01721	 3.63693e+06	 1.11497e+07	 
0.01731	 3.63743e+06	 1.1147e+07	 
0.01741	 3.63787e+06	 1.11439e+07	 
0.0175	 3.63821e+06	 1.1141e+07	 
0.0176	 3.63854e+06	 1.30434e+07	 
0.0177	 3.63956e+06	 1.46295e+07	 
0.0178	 3.6443e+06	 1.54704e+07	 
0.0179	 3.65684e+06	 1.58798e+07	 
0.018	 3.68015e+06	 1.60481e+07	 
0.0181	 3.71526e+06	 1.60891e+07	 
0.0182	 3.76138e+06	 1.60688e+07	 
0.0183	 3.81651e+06	 1.6024e+07	 
0.0184	 3.87809e+06	 1.59742e+07	 
0.0185	 3.94349e+06	 1.59284e+07	 
0.0186	 4.01031e+06	 1.58903e+07	 
0.0187	 4.07657e+06	 1.58605e+07	 
0.0188	 4.14077e+06	 1.58382e+07	 
0.0189	 4.20184e+06	 1.58222e+07	 
0.019	 4.25909e+06	 1.58112e+07	 
0.0191	 4.31213e+06	 1.58039e+07	 
0.0192	 4.36082e+06	 1.57994e+07	 
0.0193	 4.40519e+06	 1.57968e+07	 
0.0194	 4.44539e+06	 1.57956e+07	 
0.0195	 4.48164e+06	 1.57952e+07	 
0.0196	 4.5142e+06	 1.57952e+07	 
0.0197	 4.54338e+06	 1.57955e+07	 
0.0198	 4.56946e+06	 1.57957e+07	 
0.0199	 4.59273e+06	 1.57957e+07	 
0.02	 4.61346e+06	 1.57955e+07	 
0.0201	 4.63191e+06	 1.57949e+07	 
0.0202	 4.64831e+06	 1.57938e+07	 
0.0203	 4.66288e+06	 1.57922e+07	 
0.0204	 4.67581e+06	 1.57901e+07	 
0.0205	 4.68727e+06	 1.57875e+07	 
0.0206	 4.69743e+06	 1.57842e+07	 
0.0207	 4.70641e+06	 1.57804e+07	 
0.0208	 4.71436e+06	 1.5776e+07	 
0.0209	 4.72136e+06	 1.5771e+07	 
0.021	 4.7278e+06	 1.59096e+07	 
0.0211	 4.74126e+06	 1.6467e+07	 
0.0212	 4.77663e+06	 1.71639e+07	 
0.0213	 4.84165e+06	 1.78305e+07	 
0.0214	 4.93501e+06	 1.83923e+07	 
0.0215	 5.04997e+06	 1.88287e+07	 
0.0216	 5.17798e+06	 1.91466e+07	 
0.0217	 5.31096e+06	 1.93651e+07	 
0.0218	 5.44241e+06	 1.95066e+07	 
0.0219	 5.56769e+06	 1.95917e+07	 
0.022	 5.68386e+06	 1.96379e+07	 
0.0221	 5.78941e+06	 1.96588e+07	 
0.0222	 5.88383e+06	 1.96641e+07	 
0.0223	 5.96732e+06	 1.96609e+07	 
0.0224	 6.04051e+06	 1.96536e+07	 
0.0225	 6.10428e+06	 1.9645e+07	 
0.0226	 6.15959e+06	 1.96367e+07	 
0.0227	 6.20743e+06	 1.96295e+07	 
0.0228	 6.24875e+06	 1.96237e+07	 
0.0229	 6.2844e+06	 1.96193e+07	 
0.023	 6.31517e+06	 1.96162e+07	 
0.0231	 6.34175e+06	 1.96139e+07	 
0.0232	 6.36472e+06	 1.96123e+07	 
0.0233	 6.3846e+06	 1.9611e+07	 
0.0234	 6.40184e+06	 1.96099e+07	 
0.0235	 6.4168e+06	 1.96087e+07	 
0.0236	 6.43137e+06	 1.96088e+07	 
0.0237	 6.49913e+06	 1.967e+07	 
0.0238	 6.6684e+06	 1.98618e+07	 
0.0239	 6.91959e+06	 2.01763e+07	 
0.024	 7.2149e+06	 2.05715e+07	 
0.0241	 7.52056e+06	 2.09993e+07	 
0.0242	 7.81296e+06	 2.14195e+07	 
0.0243	 8.07847e+06	 2.18043e+07	 
0.0244	 8.31111e+06	 2.21383e+07	 
0.0245	 8.50998e+06	 2.24158e+07	 
0.0246	 8.67718e+06	 2.26382e+07	 
0.0247	 8.81628e+06	 2.28113e+07	 
0.0248	 8.93136e+06	 2.29426e+07	 
0.0249	 9.02641e+06	 2.30405e+07	 
0.025	 9.10507e+06	 2.31127e+07	 
0.0251	 9.17047e+06	 2.3166e+07	 
0.0252	 9.35922e+06	 2.32058e+07	 
0.0253	 1.00762e+07	 2.32464e+07	 
0.0254	 1.0996e+07	 2.33201e+07	 
0.0255	 1.18998e+07	 2.34561e+07	 
0.0256	 1.26926e+07	 2.36681e+07	 
0.0257	 1.33475e+07	 2.39534e+07	 
0.0258	 1.67387e+07	 2.42976e+07	 
0.0259	 2.13417e+07	 2.46822e+07	 
0.026	 2.49976e+07	 2.5095e+07	 
0.0261	 2.78919e+07	 2.55368e+07	 
0.0262	 3.01886e+07	 2.60199e+07	 
0.0263	 3.20257e+07	 2.65618e+07	 
0.0264	 3.35148e+07	 2.71796e+07	 
0.0265	 3.47446e+07	 2.78854e+07	 
0.0266	 3.57836e+07	 2.86844e+07	 
0.0267	 3.66835e+07	 2.95743e+07	 
0.0268	 3.7483e+07	 3.05462e+07	 
0.0269	 3.82102e+07	 3.15863e+07	 
0.027	 3.88852e+07	 3.26775e+07	 
0.0271	 3.95226e+07	 3.38016e+07	 
0.0272	 4.01323e+07	 3.494e+07	 
0.0273	 4.07215e+07	 3.60758e+07	 
0.0274	 4.12951e+07	 3.71941e+07	 
0.0275	 4.18566e+07	 3.82826e+07	 
0.0276	 4.24082e+07	 3.93317e+07	 
0.0277	 4.29515e+07	 4.03348e+07	 
0.0278	 4.34878e+07	 4.12881e+07	 
0.0279	 4.40177e+07	 4.21896e+07	 
0.028	 4.45417e+07	 4.30397e+07	 
0.0281	 4.50602e+07	 4.38401e+07	 
0.0282	 4.55734e+07	 4.45936e+07	 
0.0283	 4.60815e+07	 4.53038e+07	 
0.0284	 4.65844e+07	 4.59745e+07	 
0.0285	 4.70824e+07	 4.66098e+07	 
0.0286	 4.75754e+07	 4.72138e+07	 
0.0287	 4.80635e+07	 4.77902e+07	 
0.0288	 4.85465e+07	 4.83426e+07	 
0.0289	 4.90246e+07	 4.88741e+07	 
0.029	 4.94978e+07	 4.93874e+07	 
0.0291	 4.99659e+07	 4.9885e+07	 
0.0292	 5.0429e+07	 5.03689e+07	 
0.0293	 5.08872e+07	 5.08409e+07	 
0.0294	 5.13403e+07	 5.13024e+07	 
0.0295	 5.17884e+07	 5.17546e+07	 
0.0296	 5.22315e+07	 5.21984e+07	 
0.0297	 5.26696e+07	 5.26347e+07	 
0.0298	 5.31027e+07	 5.30641e+07	 
0.0299	 5.35308e+07	 5.3487e+07	 
0.03	 5.39539e+07	 5.3904e+07	 
0.0301	 5.4372e+07	 5.43152e+07	 
0.0302	 5.47851e+07	 5.4721e+07	 
0.0303	 5.51933e+07	 5.51216e+07	 
0.0304	 5.55965e+07	 5.55171e+07	 
0.0305	 5.59949e+07	 5.59077e+07	 
0.0306	 5.63883e+07	 5.62934e+07	 
0.0307	 5.67768e+07	 5.66743e+07	 
0.0308	 5.71605e+07	 5.70505e+07	 
0.0309	 5.75393e+07	 5.74221e+07	 
0.031	 5.79133e+07	 5.77891e+07	 
0.0311	 5.82825e+07	 5.81515e+07	 
0.0312	 5.8647e+07	 5.85094e+07	 
0.0313	 5.90067e+07	 5.88628e+07	 
0.0314	 5.93617e+07	 5.92117e+07	 
0.0315	 5.97121e+07	 5.95563e+07	 
0.0316	 6.00578e+07	 5.98964e+07	 
0.0317	 6.03989e+07	 6.02321e+07	 
0.0318	 6.07355e+07	 6.05634e+07	 
0.0319	 6.10674e+07	 6.08905e+07	 
0.032	 6.13949e+07	 6.12132e+07	 
0.0321	 6.17179e+07	 6.15317e+07	 
0.0322	 6.20364e+07	 6.18459e+07	 
0.0323	 6.23506e+07	 6.21558e+07	 
0.0324	 6.26603e+07	 6.24616e+07	 
0.0325	 6.29657e+07	 6.27632e+07	 
0.0326	 6.32668e+07	 6.30607e+07	 
0.0327	 6.35636e+07	 6.3354e+07	 
0.0328	 6.38562e+07	 6.36432e+07	 
0.0329	 6.41445e+07	 6.39284e+07	 
0.033	 6.44287e+07	 6.42095e+07	 
0.0331	 6.47087e+07	 6.44866e+07	 
0.0332	 6.49846e+07	 6.47597e+07	 
0.0333	 6.52564e+07	 6.50288e+07	 
0.0334	 6.55242e+07	 6.5294e+07	 
0.0335	 6.57879e+07	 6.55553e+07	 
0.0336	 6.60477e+07	 6.58127e+07	 
0.0337	 6.63035e+07	 6.60663e+07	 
0.0338	 6.65554e+07	 6.6316e+07	 
0.0339	 6.68034e+07	 6.6562e+07	 
0.034	 6.70476e+07	 6.68041e+07	 
0.0341	 6.72879e+07	 6.70426e+07	 
0.0342	 6.75244e+07	 6.72773e+07	 
0.0343	 6.77571e+07	 6.75084e+07	 
0.0344	 6.79861e+07	 6.77357e+07	 
0.0345	 6.82113e+07	 6.79595e+07	 
0.0346	 6.84329e+07	 6.81797e+07	 
0.0347	 6.86508e+07	 6.83963e+07	 
0.0348	 6.88651e+07	 6.86094e+07	 
0.0349	 6.90758e+07	 6.88189e+07	 
0.035	 6.92829e+07	 6.9025e+07	 
0.0351	 6.94865e+07	 6.92276e+07	 
0.0352	 6.96865e+07	 6.94267e+07	 
0.0353	 6.98831e+07	 6.96225e+07	 
0.0354	 7.00762e+07	 6.98149e+07	 
0.0355	 7.02659e+07	 7.00039e+07	 
0.0356	 7.04522e+07	 7.01896e+07	 
0.0357	 7.0635e+07	 7.03721e+07	 
0.0358	 7.08146e+07	 7.05512e+07	 
0.0359	 7.09908e+07	 7.0727e+07	 
0.036	 7.11638e+07	 7.08997e+07	 
0.0361	 7.13334e+07	 7.10691e+07	 
0.0362	 7.14999e+07	 7.12353e+07	 
0.0363	 7.16631e+07	 7.13984e+07	 
0.0364	 7.18231e+07	 7.15583e+07	 
0.0365	 7.198e+07	 7.17151e+07	 
0.0366	 7.21338e+07	 7.18688e+07	 
0.0367	 7.22844e+07	 7.20193e+07	 
0.0368	 7.24319e+07	 7.21669e+07	 
0.0369	 7.25764e+07	 7.23113e+07	 
0.037	 7.27179e+07	 7.24528e+07	 
0.0371	 7.28563e+07	 7.25912e+07	 
0.0372	 7.29917e+07	 7.27266e+07	 
0.0373	 7.31242e+07	 7.28591e+07	 
0.0374	 7.32537e+07	 7.29885e+07	 
0.0375	 7.33802e+07	 7.31151e+07	 
0.0376	 7.35039e+07	 7.32387e+07	 
0.0377	 7.36246e+07	 7.33594e+07	 
